year,label,size_per_topic,size_per_year,pct
2011,Non-Proliferation,30,975,3.08
2011,Nuclear deterrence,58,975,5.95
2011,Russian nuclear security policy,47,975,4.82
2011,Transatlantic cooperation and NATO-Russia rivalry in Europe,24,975,2.46
2011,U.S. - Russia nuclear cooperation and competition,82,975,8.41
2011,U.S. Air Force,58,975,5.95
2011,U.S. Nuclear weapon modernization and nuclear strategy,41,975,4.21
2011,U.S. and maintaining of the World order,43,975,4.41
2011,U.S. defense budgeting and policy-making,93,975,9.54
2011,Unidentifiable,49,975,5.03
2012,'Perestroika' Cold War security issues,3,1063,0.28
2012,Anti-Ballistic missile defense,15,1063,1.41
2012,Asia-Pacific region security issues,43,1063,4.05
2012,British nuclear security policy,28,1063,2.63
2012,Catholic church and deterrence,54,1063,5.08
2012,Cyber deterrence,41,1063,3.86
2012,India's nuclear security policy,73,1063,6.87
2012,India/Pakistani nuclear tensions,112,1063,10.54
2012,Korean Peninsula security/nuclear issues,62,1063,5.83
2012,MENA region security issues,112,1063,10.54
2012,Non-Proliferation,42,1063,3.95
2012,Nuclear deterrence,40,1063,3.76
2012,Russian nuclear security policy,61,1063,5.74
2012,Transatlantic cooperation and NATO-Russia rivalry in Europe,37,1063,3.48
2012,U.S. - Russia nuclear cooperation and competition,94,1063,8.84
2012,U.S. Air Force,32,1063,3.01
2012,U.S. Nuclear weapon modernization and nuclear strategy,65,1063,6.11
2012,U.S. and maintaining of the World order,38,1063,3.57
2012,U.S. defense budgeting and policy-making,53,1063,4.99
2012,Unidentifiable,58,1063,5.46
2013,'Perestroika' Cold War security issues,6,1419,0.42
2013,Anti-Ballistic missile defense,13,1419,0.92
2013,Asia-Pacific region security issues,54,1419,3.81
2013,British nuclear security policy,86,1419,6.06
2013,Catholic church and deterrence,67,1419,4.72
2013,Cyber deterrence,53,1419,3.74
2013,India's nuclear security policy,65,1419,4.58
2013,India/Pakistani nuclear tensions,122,1419,8.6
2013,Korean Peninsula security/nuclear issues,255,1419,17.97
2013,MENA region security issues,90,1419,6.34
2013,Non-Proliferation,37,1419,2.61
2013,Nuclear deterrence,51,1419,3.59
2013,Russian nuclear security policy,76,1419,5.36
2013,Transatlantic cooperation and NATO-Russia rivalry in Europe,20,1419,1.41
2013,U.S. - Russia nuclear cooperation and competition,73,1419,5.14
2013,U.S. Air Force,87,1419,6.13
2013,U.S. Nuclear weapon modernization and nuclear strategy,98,1419,6.91
2013,U.S. and maintaining of the World order,41,1419,2.89
2013,U.S. defense budgeting and policy-making,73,1419,5.14
2013,Unidentifiable,52,1419,3.66
2014,'Perestroika' Cold War security issues,3,891,0.34
2014,Anti-Ballistic missile defense,7,891,0.79
2014,Asia-Pacific region security issues,41,891,4.6
2014,British nuclear security policy,49,891,5.5
2014,Catholic church and deterrence,38,891,4.26
2014,Cyber deterrence,28,891,3.14
2014,India's nuclear security policy,32,891,3.59
2014,India/Pakistani nuclear tensions,64,891,7.18
2014,Korean Peninsula security/nuclear issues,148,891,16.61
2014,MENA region security issues,36,891,4.04
2014,Non-Proliferation,27,891,3.03
2014,Nuclear deterrence,34,891,3.82
2014,Russian nuclear security policy,29,891,3.25
2014,Transatlantic cooperation and NATO-Russia rivalry in Europe,46,891,5.16
2014,U.S. - Russia nuclear cooperation and competition,48,891,5.39
2014,U.S. Air Force,90,891,10.1
2014,U.S. Nuclear weapon modernization and nuclear strategy,47,891,5.27
2014,U.S. and maintaining of the World order,40,891,4.49
2014,U.S. defense budgeting and policy-making,52,891,5.84
2014,Unidentifiable,32,891,3.59
2015,'Perestroika' Cold War security issues,1,1353,0.07
2015,Anti-Ballistic missile defense,11,1353,0.81
2015,Asia-Pacific region security issues,38,1353,2.81
2015,British nuclear security policy,130,1353,9.61
2015,Catholic church and deterrence,76,1353,5.62
2015,Cyber deterrence,135,1353,9.98
2015,India's nuclear security policy,43,1353,3.18
2015,India/Pakistani nuclear tensions,107,1353,7.91
2015,Korean Peninsula security/nuclear issues,80,1353,5.91
2015,MENA region security issues,59,1353,4.36
2015,Non-Proliferation,78,1353,5.76
2015,Nuclear deterrence,41,1353,3.03
2015,Russian nuclear security policy,39,1353,2.88
2015,Transatlantic cooperation and NATO-Russia rivalry in Europe,62,1353,4.58
2015,U.S. - Russia nuclear cooperation and competition,36,1353,2.66
2015,U.S. Air Force,131,1353,9.68
2015,U.S. Nuclear weapon modernization and nuclear strategy,61,1353,4.51
2015,U.S. and maintaining of the World order,35,1353,2.59
2015,U.S. defense budgeting and policy-making,115,1353,8.5
2015,Unidentifiable,75,1353,5.54
2016,Anti-Ballistic missile defense,11,1987,0.55
2016,Asia-Pacific region security issues,134,1987,6.74
2016,British nuclear security policy,90,1987,4.53
2016,Catholic church and deterrence,81,1987,4.08
2016,Cyber deterrence,134,1987,6.74
2016,India's nuclear security policy,59,1987,2.97
2016,India/Pakistani nuclear tensions,248,1987,12.48
2016,Korean Peninsula security/nuclear issues,286,1987,14.39
2016,MENA region security issues,47,1987,2.37
2016,Non-Proliferation,91,1987,4.58
2016,Nuclear deterrence,64,1987,3.22
2016,Russian nuclear security policy,35,1987,1.76
2016,Transatlantic cooperation and NATO-Russia rivalry in Europe,111,1987,5.59
2016,U.S. - Russia nuclear cooperation and competition,32,1987,1.61
2016,U.S. Air Force,96,1987,4.83
2016,U.S. Nuclear weapon modernization and nuclear strategy,133,1987,6.69
2016,U.S. and maintaining of the World order,46,1987,2.32
2016,U.S. defense budgeting and policy-making,186,1987,9.36
2016,Unidentifiable,103,1987,5.18
2017,'Perestroika' Cold War security issues,2,2668,0.07
2017,Anti-Ballistic missile defense,11,2668,0.41
2017,Asia-Pacific region security issues,170,2668,6.37
2017,British nuclear security policy,76,2668,2.85
2017,Catholic church and deterrence,119,2668,4.46
2017,Cyber deterrence,223,2668,8.36
2017,India's nuclear security policy,53,2668,1.99
2017,India/Pakistani nuclear tensions,93,2668,3.49
2017,Korean Peninsula security/nuclear issues,667,2668,25.0
2017,MENA region security issues,56,2668,2.1
2017,Non-Proliferation,224,2668,8.4
2017,Nuclear deterrence,142,2668,5.32
2017,Russian nuclear security policy,83,2668,3.11
2017,Transatlantic cooperation and NATO-Russia rivalry in Europe,76,2668,2.85
2017,U.S. - Russia nuclear cooperation and competition,52,2668,1.95
2017,U.S. Air Force,135,2668,5.06
2017,U.S. Nuclear weapon modernization and nuclear strategy,133,2668,4.99
2017,U.S. and maintaining of the World order,100,2668,3.75
2017,U.S. defense budgeting and policy-making,143,2668,5.36
2017,Unidentifiable,110,2668,4.12
2018,'Perestroika' Cold War security issues,4,1905,0.21
2018,Anti-Ballistic missile defense,17,1905,0.89
2018,Asia-Pacific region security issues,93,1905,4.88
2018,British nuclear security policy,58,1905,3.04
2018,Catholic church and deterrence,75,1905,3.94
2018,Cyber deterrence,248,1905,13.02
2018,India's nuclear security policy,82,1905,4.3
2018,India/Pakistani nuclear tensions,118,1905,6.19
2018,Korean Peninsula security/nuclear issues,188,1905,9.87
2018,MENA region security issues,39,1905,2.05
2018,Non-Proliferation,72,1905,3.78
2018,Nuclear deterrence,90,1905,4.72
2018,Russian nuclear security policy,84,1905,4.41
2018,Transatlantic cooperation and NATO-Russia rivalry in Europe,82,1905,4.3
2018,U.S. - Russia nuclear cooperation and competition,61,1905,3.2
2018,U.S. Air Force,77,1905,4.04
2018,U.S. Nuclear weapon modernization and nuclear strategy,122,1905,6.4
2018,U.S. and maintaining of the World order,69,1905,3.62
2018,U.S. defense budgeting and policy-making,100,1905,5.25
2018,Unidentifiable,226,1905,11.86
2019,'Perestroika' Cold War security issues,1,1518,0.07
2019,Anti-Ballistic missile defense,36,1518,2.37
2019,Asia-Pacific region security issues,75,1518,4.94
2019,British nuclear security policy,63,1518,4.15
2019,Catholic church and deterrence,50,1518,3.29
2019,Cyber deterrence,68,1518,4.48
2019,India's nuclear security policy,70,1518,4.61
2019,India/Pakistani nuclear tensions,172,1518,11.33
2019,Korean Peninsula security/nuclear issues,44,1518,2.9
2019,MENA region security issues,58,1518,3.82
2019,Non-Proliferation,73,1518,4.81
2019,Nuclear deterrence,55,1518,3.62
2019,Russian nuclear security policy,51,1518,3.36
2019,Transatlantic cooperation and NATO-Russia rivalry in Europe,96,1518,6.32
2019,U.S. - Russia nuclear cooperation and competition,57,1518,3.75
2019,U.S. Air Force,85,1518,5.6
2019,U.S. Nuclear weapon modernization and nuclear strategy,94,1518,6.19
2019,U.S. and maintaining of the World order,60,1518,3.95
2019,U.S. defense budgeting and policy-making,66,1518,4.35
2019,Unidentifiable,244,1518,16.07
2020,Anti-Ballistic missile defense,12,1724,0.7
2020,Asia-Pacific region security issues,68,1724,3.94
2020,British nuclear security policy,32,1724,1.86
2020,Catholic church and deterrence,49,1724,2.84
2020,Cyber deterrence,150,1724,8.7
2020,India's nuclear security policy,45,1724,2.61
2020,India/Pakistani nuclear tensions,96,1724,5.57
2020,Korean Peninsula security/nuclear issues,89,1724,5.16
2020,MENA region security issues,72,1724,4.18
2020,Non-Proliferation,58,1724,3.36
2020,Nuclear deterrence,34,1724,1.97
2020,Russian nuclear security policy,54,1724,3.13
2020,Transatlantic cooperation and NATO-Russia rivalry in Europe,111,1724,6.44
2020,U.S. - Russia nuclear cooperation and competition,106,1724,6.15
2020,U.S. Air Force,65,1724,3.77
2020,U.S. Nuclear weapon modernization and nuclear strategy,73,1724,4.23
2020,U.S. and maintaining of the World order,95,1724,5.51
2020,U.S. defense budgeting and policy-making,68,1724,3.94
2020,Unidentifiable,447,1724,25.93
